,type,numNodes,numEdges,sampnodes,sampedges,Samplingrate,ActualDensity,SampledDensity,ActualCommunitysize,SampledCommunitysize,actualmodularity,sampledmodularity,Lcommsize_act1,Lcommsize_samp1,Lcommsize_act2,Lcommsize_samp2,Lcommsize_act3,Lcommsize_samp3,Clustcoeff_act,Clustcoeff_samp,diameter_act,diameter_samp,ks_deg,pval_deg,ks_cc,pval_cc,ks_pg,pval_pg
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RE,2000,299850,1967,29985,0.1,448.6158273,45.73060029,12,210,0.247529805,0.225255564,502,510,501,455,500,447,0.374924956,0.059376184,4,6,0.702283681,0,0.950742392,0,0.025087951,0.560422883
3,RE,2000,299850,1968,29985,0.1,448.6158273,45.77101449,12,186,0.247529805,0.222037151,502,517,501,430,500,407,0.374924956,0.059504322,4,7,0.703174797,0,0.943509395,0,0.021646341,0.741359545
4,RE,2000,299850,1964,29985,0.1,448.6158273,45.44704264,12,198,0.247529805,0.226059943,502,506,501,466,500,460,0.374924956,0.059680292,4,7,0.701762729,0,0.950260608,0,0.022133401,0.716664957
5,RE,2000,299850,1967,29985,0.1,448.6158273,45.81686047,12,158,0.247529805,0.244049728,502,752,501,498,500,494,0.374924956,0.06042199,4,7,0.701221657,0,0.943404266,0,0.02344001,0.647141865
6,RE,2000,299850,1964,29985,0.1,448.6158273,45.44588745,12,168,0.247529805,0.233347669,502,488,501,472,500,450,0.374924956,0.059163942,4,6,0.69893279,0,0.946382261,0,0.022795316,0.681821765
7,RE,2000,299850,1976,29985,0.1,448.6158273,45.67111111,12,204,0.247529805,0.230013058,502,520,501,445,500,395,0.374924956,0.060893143,4,7,0.703004049,0,0.949876698,0,0.029394737,0.356899159
8,RE,2000,299850,1960,29985,0.1,448.6158273,45.96428571,12,186,0.247529805,0.221797541,502,498,501,456,500,451,0.374924956,0.05979011,4,6,0.700285714,0,0.944012585,0,0.022673469,0.688882281
9,RE,2000,299850,1963,29985,0.1,448.6158273,44.98772169,12,177,0.247529805,0.234290615,502,526,501,459,500,428,0.374924956,0.057931325,4,6,0.704133979,0,0.951604712,0,0.034259552,0.195283283
10,RE,2000,299850,1968,29985,0.1,448.6158273,46.2754491,12,227,0.247529805,0.222070009,502,505,501,451,500,445,0.374924956,0.062229176,4,7,0.700126016,0,0.948012605,0,0.01696748,0.937620118
11,RE,2000,299850,1956,29985,0.1,448.6158273,45.55652174,12,162,0.247529805,0.227559581,502,507,501,477,500,453,0.374924956,0.059733191,4,6,0.704711656,0,0.950502625,0,0.023511247,0.645124688
12,RE,2000,299850,1969,29985,0.1,448.6158273,45.73071104,12,202,0.247529805,0.224662915,502,514,501,484,500,419,0.374924956,0.059702139,4,6,0.703425597,0,0.952178851,0,0.026363128,0.495543955
13,RE,2000,299850,1960,29985,0.1,448.6158273,45.45070423,12,214,0.247529805,0.224143788,502,515,501,475,500,397,0.374924956,0.060109044,4,6,0.703153061,0,0.944876698,0,0.025561224,0.53728536
14,RE,2000,299850,1970,29985,0.1,448.6158273,45.9077381,12,193,0.247529805,0.232414916,502,513,501,472,500,449,0.374924956,0.060229111,4,7,0.70369797,0,0.95077044,0,0.025218274,0.553193413
15,RE,2000,299850,1968,29985,0.1,448.6158273,45.46099291,12,197,0.247529805,0.232125893,502,493,501,468,500,458,0.374924956,0.059196923,4,6,0.699361789,0,0.944067779,0,0.024813008,0.574537417
16,RE,2000,299850,1966,29985,0.1,448.6158273,45.95620438,12,202,0.247529805,0.224254772,502,503,501,463,500,414,0.374924956,0.060900484,4,7,0.699798067,0,0.946505241,0,0.020602747,0.793996643
